,Quality of Life Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,pop_thou,Percent Fertile,chrstpct,judpct,islmpct,budpct,zorpct,bahpct,anmpct,nonpct,othrpct,Country,AvgTemperature,pct_lt_sec,pct_some_sec,pct_some_ter,avg_5_yr_pct_growth,OC,AS,EU,SA,NA,AF
57,100.90277777777777,53.64111111111111,69.76500000000001,47.08055555555556,10.828888888888885,58.13666666666666,13988.0,52.974103012532886,0,0,1,0,0,0,0,0,0,Turkey,50.90390675588181,0.43,0.265,0.105,0.10923648841864456,0,1,0,0,0,0
58,139.57166666666666,72.49749999999997,74.7275,36.85916666666667,8.507500000000002,37.71999999999999,3020.0,52.974103012532886,0,0,1,0,0,0,0,0,0,Turkey,50.90390675588181,0.43,0.265,0.105,0.0890728476821192,0,1,0,0,0,0
59,46.82941176470589,47.782352941176484,57.97764705882353,45.46764705882354,20.08411764705882,53.532941176470594,10417.0,54.16933307395194,0,0,1,0,0,0,0,0,0,Indonesia,35.988407987047964,0.3,0.28500000000000003,0.08499999999999999,0.07391763463569166,0,1,0,0,0,0
60,138.54545454545456,64.66272727272727,56.37454545454546,50.67727272727273,3.186363636363636,34.05818181818181,4001.0,60.82408367016862,0,0,1,0,0,0,0,0,0,Saudi Arabia,79.62967839412913,0.115,0.265,0.275,0.13246688327918021,0,1,0,0,0,0
61,125.05111111111107,18.422777777777775,60.452777777777776,49.374444444444435,3.1372222222222224,41.218888888888884,9250.0,54.85852603729413,1,0,0,0,0,1,1,0,0,South Africa,61.940416576731884,0.105,0.385,0.045,0.1309189189189189,0,0,0,0,0,1
62,74.45615384615384,38.61000000000001,56.738461538461536,25.281538461538464,12.670769230769231,40.526923076923076,16643.0,51.23566455759742,0,0,1,0,0,0,0,0,0,Pakistan,65.36514840798709,0.45,0.205,0.055,0.1470888661899898,0,1,0,0,0,0
63,82.25285714285714,64.87142857142858,55.89,31.201428571428572,25.08,40.52428571428572,1183.0,52.130749090212326,0,0,1,0,0,0,0,0,0,Nepal,49.4923475445224,0.355,0.30000000000000004,0.045,0.16906170752324598,0,1,0,0,0,0
64,105.9875,52.89,45.78375,29.275,12.415,37.57375,1440.0,48.00008423027182,1,0,0,0,0,0,0,1,0,Ukraine,47.66315562270661,0.025,0.7,0.185,-0.008333333333333333,0,0,1,0,0,0
65,60.85722222222223,49.29222222222222,48.56777777777778,26.472222222222214,11.448888888888886,64.24722222222222,14958.0,53.94534356764935,0,0,1,0,1,1,0,0,0,India,81.53172890135951,0.28500000000000003,0.26,0.095,0.04505949993314614,0,1,0,0,0,0
66,127.11769230769232,68.99000000000001,61.231538461538456,41.482307692307685,12.820769230769232,31.21307692307692,762.0,48.1612394817352,1,0,0,0,0,0,0,0,1,Poland,47.77608461040342,0.005,0.625,0.21,0.003937007874015748,0,0,1,0,0,0
67,81.915,30.28500000000001,62.99111111111111,46.007777777777775,9.819444444444443,42.013888888888886,6830.0,56.14954092405966,0,0,1,0,0,0,0,0,0,Malaysia,78.95312972156226,0.08499999999999999,0.44,0.205,0.14231332357247437,0,1,0,0,0,0
68,51.92,35.24,49.14833333333333,35.776666666666664,14.756666666666668,69.14666666666666,13357.0,46.386841450968426,1,0,0,0,0,1,1,0,0,Nigeria,38.574221321853685,0.255,0.25,0.11,0.18237628209927378,0,0,0,0,0,1
69,99.339,57.304,62.96000000000002,25.590000000000003,14.565000000000005,39.37300000000001,8760.0,51.23566455759742,0,0,1,0,0,0,0,0,0,Pakistan,65.36514840798709,0.45,0.205,0.055,0.1393835616438356,0,1,0,0,0,0
70,85.41749999999998,31.00666666666667,58.70916666666668,41.55083333333332,15.765833333333333,46.88750000000001,9869.0,52.77800429468519,1,0,0,0,0,0,0,0,1,Peru,66.63344696473038,0.11,0.405,0.23,0.090282703414733,0,0,0,1,0,0
71,142.95666666666668,66.80666666666667,68.3322222222222,58.040555555555564,13.957777777777778,36.48055555555556,2897.0,44.651111056594324,1,0,0,0,0,0,0,1,1,Portugal,61.857770343189905,0.25,0.235,0.135,0.028995512599240592,0,0,1,0,0,0
72,173.76,55.65,85.71,69.83,8.02,32.76,874.0,45.680610662694775,1,0,0,0,0,0,0,1,1,United Kingdom,49.648305633498744,0.205,0.38,0.28,0.012585812356979404,0,0,1,0,0,0
73,110.66833333333336,50.21055555555554,70.56888888888889,94.02,20.861666666666665,47.58333333333333,10287.0,45.680610662694775,1,0,0,0,0,0,0,1,1,United Kingdom,49.648305633498744,0.205,0.38,0.28,0.05599300087489064,0,0,1,0,0,0
74,152.1875,55.44750000000001,77.51499999999999,77.59,9.395,33.9675,1614.0,43.34770334283145,1,0,0,0,0,0,0,1,1,France,56.452460608677036,0.185,0.425,0.275,0.03841387856257745,0,0,1,0,0,0
75,141.56888888888892,66.85499999999999,76.48388888888887,67.53222222222222,11.72611111111111,34.30111111111112,6154.0,46.72027823721074,1,0,0,0,0,0,0,1,1,Spain,61.26926397582565,0.15000000000000002,0.33,0.22,0.05914852128696783,0,0,1,0,0,0
