,City_x,State,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Country Code,pop_thou,avg_5_yr_growth_thou,Percent Fertile,chrstpct,judpct,islmpct,budpct,zorpct,hinpct,sikhpct,shntpct,bahpct,taopct,jainpct,conpct,synpct,anmpct,nonpct,othrpct,sumpct,Country,City_y,AvgTemperature,pct_lt_sec,pct_some_sec,pct_some_ter
23,Austin, TX,189.97214285714284,136.825,63.37857142857143,72.6592857142857,71.08142857142856,4.051428571428571,35.53785714285714,37.52357142857142,USA,,,,1.4907999999999997,0.038099999999999995,0.018000000000000002,0.0218,0.0053,0.0057,0.0013,0.0005,0.0015,0.0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025,0.0,,,,0.035,0.505,0.33999999999999997
24,Baku,None,98.80363636363636,29.31090909090909,70.48727272727272,39.99363636363636,30.995454545454546,18.304545454545455,37.77545454545455,81.02909090909091,AZE,2355.0,254.0,54.74899400578398,0.0483,0.0018,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193,0.0057,0.0,,,,0.045,0.645,0.15
25,Baltimore, MD,161.08875,117.98500000000001,27.28875,78.41874999999999,74.4375,2.4899999999999998,32.9525,47.8025,USA,,,,1.4907999999999997,0.038099999999999995,0.018000000000000002,0.0218,0.0053,0.0057,0.0013,0.0005,0.0015,0.0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025,0.0,,,,0.035,0.505,0.33999999999999997
26,Bangalore,None,113.87000000000002,85.19444444444446,49.73222222222222,66.73388888888888,28.45055555555555,8.297222222222222,49.87777777777777,80.67944444444444,IND,10066.0,1689.0,53.94534356764936,0.0469,0.0,0.268,0.0154,0.0001,0.8045,0.0187,0.0,0.0014,0.0,0.0041,0.0,0.0001,0.0024,0.0031,0.0004,0.0,India,None,81.53172890135951,0.28500000000000003,0.26,0.095
27,Bangalore,None,113.87000000000002,85.19444444444446,49.73222222222222,66.73388888888888,28.45055555555555,8.297222222222222,49.87777777777777,80.67944444444444,IND,10066.0,1689.0,53.94534356764936,0.0469,0.0,0.268,0.0154,0.0001,0.8045,0.0187,0.0,0.0014,0.0,0.0041,0.0,0.0001,0.0024,0.0031,0.0004,0.0,India,None,78.87181092164924,0.28500000000000003,0.26,0.095
28,Bangalore,None,113.87000000000002,85.19444444444446,49.73222222222222,66.73388888888888,28.45055555555555,8.297222222222222,49.87777777777777,80.67944444444444,IND,10066.0,1689.0,53.94534356764936,0.0469,0.0,0.268,0.0154,0.0001,0.8045,0.0187,0.0,0.0014,0.0,0.0041,0.0,0.0001,0.0024,0.0031,0.0004,0.0,India,Chennai,82.84702136844402,0.28500000000000003,0.26,0.095
29,Bangalore,None,113.87000000000002,85.19444444444446,49.73222222222222,66.73388888888888,28.45055555555555,8.297222222222222,49.87777777777777,80.67944444444444,IND,10066.0,1689.0,53.94534356764936,0.0469,0.0,0.268,0.0154,0.0001,0.8045,0.0187,0.0,0.0014,0.0,0.0041,0.0,0.0001,0.0024,0.0031,0.0004,0.0,India,Delhi,75.79885590933651,0.28500000000000003,0.26,0.095
30,Bangkok,None,67.78777777777776,40.79388888888888,57.35722222222223,82.85388888888889,53.85666666666667,23.11777777777778,45.06444444444443,76.725,THA,,,51.43420648674161,,,,,,,,,,,,,,,,,,Thailand,Bangkok,72.46408588158758,0.24,0.19,0.14
31,Banja Luka,None,103.39571428571428,51.034285714285716,68.61142857142856,46.34714285714285,42.53714285714286,12.31,23.984285714285715,55.46142857142856,BIH,,,47.161331493134675,,,,,,,,,,,,,,,,,,,,,0.08499999999999999,0.56,0.095
32,Barcelona,None,128.49176470588233,77.44000000000001,57.31235294117647,72.53764705882354,67.01,12.474705882352943,31.29235294117647,68.88,ESP,5223.0,288.0,46.72027823721074,,,,,,,,,,,,,,,,,,Spain,Barcelona,61.26926397582565,0.15000000000000002,0.33,0.22
